Player Name,Clan Rank,Starting Total ,Starting Exp,Total Exp,Clan Exp,#REF!,Player Name,Clan Rank,Starting Total ,Starting Exp,Total Exp,Clan Exp
Kaiteno ,Dragonstone,1712,53535325,"153,065,527","99,530,202",,Dan xo ,Owner,"2,156","207,137,606","268,927,587","61,789,981"
Minx ,Diamond,2277,335790541,"424,601,610","88,811,069",,x MJP x ,Deputy Owner,"1,920","124,937,120","178,583,686","53,646,566"
Yuiii,Diamond,2277,710101939,"795,261,097","85,159,158",,Shezzza ,Admin,"2,200","292,943,366","339,581,012","46,637,646"
S_3_M_A_J ,Diamond,1552,31272379,#N/A,#N/A,,Busty Thots,Admin,"2,017","134,632,741",#N/A,#N/A
Roinrin ,Diamond,1709,39455343,#N/A,#N/A,,,,,,,
Smokin L0ud,Diamond,1877,159088654,#N/A,#N/A,,,,,,,
MrBigSimp,Diamond,1779,50793058,#N/A,#N/A,,,,,,,
Reubon,Diamond,2206,299141310,"349,107,818","49,966,508",,,,,,,
Dainz ,Diamond,1951,134846700,"248,963,908","114,117,208",,Opal,MNew Member,,A,,
Dirty Snail,Diamond,1874,98277845,#N/A,#N/A,,Sapphire,"3,000,000",,,,
TMF512 ,Ruby,1687,51156975,"92,550,933","41,393,958",,Emerald,"8,000,000",,,,
Chimmy ,Ruby,2136,209462306,"245,651,376","36,189,070",aw,Ruby,"15,000,000",,,,
Hezz ,Ruby,2125,297834169,"329,440,480","31,606,311",,Diamond,"40,000,000",,,,
XCShark ,Ruby,2033,138576007,#N/A,#N/A,,Dragonstone,"90,000,000",,,,
Zuv Arik,Ruby,2021,180551238,#N/A,#N/A,,Onyx,"150,000,000",,,,
OzzyMan ,Ruby,1803,62490775,"85,272,393","22,781,618",,Zenyte,"500,000,000",,,,
TirinyKO ,Ruby,1502,15595173,#N/A,#N/A,,,,,,,
Beebus,Ruby,1827,67240204,"89,861,505","22,621,301",,,,,,,
Dabqt ,Ruby,2019,196984780,"220,090,244","23,105,464",,,,,,,
CaptHardon ,Ruby,2039,157703841,#N/A,#N/A,,,,,,,
fentonwalls,Ruby,1775,62601006,#N/A,#N/A,,,,,,,
Wifibananas,Ruby,2036,153236861,#N/A,#N/A,,,,,,,
IRON_RIDGERS,Ruby,2067,169518624,#N/A,#N/A,,,,,,,
Eljako98 ,Emerald,1830,76852178,#N/A,#N/A,,,,,,,
erinjackson,Emerald,1762,40722311,#N/A,#N/A,,,,,,,
MD32 ,Emerald,1951,97750747,"112,754,524","15,003,777",,,,,,,
Wuggy_James,Emerald,1728,88395380,#N/A,#N/A,,,,,,,
Sriff  ,Emerald,1579,34374410,"46,472,361","12,097,951",,,,,,,
Trequartisti ,Emerald,2186,253049079,#N/A,#N/A,,,,,,,
Ambassador ,Emerald,2122,204212924,#N/A,#N/A,,,,,,,
K aura ,Emerald,1879,71423915,"82,264,134","10,840,219",,,,,,,
Miles,Emerald,2277,376990076,"389,799,970","12,809,894",,,,,,,
Misgvidedim,Emerald,389,1072420,#N/A,#N/A,,,,,,,
Jaex ,Emerald,1460,54060207,"63,512,316","9,452,109",,,,,,,
Painless Cat,Emerald,1871,69590141,#N/A,#N/A,,c,,,,,
Yungsingteng ,Emerald,2277,397775039,#N/A,#N/A,,,,,,,
The Redneck,Emerald,2191,235645869,#N/A,#N/A,,,,,,,
Die 4 Me ,Sapphire,1414,16085718,#N/A,#N/A,,,,,,,
Zecharian211,Sapphire,891,2983793,#N/A,#N/A,,,,,,,
Pirate Patch,Sapphire,1599,26259197,#N/A,#N/A,,,,,,,
WocoosV2,Sapphire,1503,25515384,#N/A,#N/A,,,,,,,
Jblazeit ,Sapphire,1583,40314895,#N/A,#N/A,,,,,,,
TattedGhoul,Sapphire,1566,39533517,#N/A,#N/A,,,,,,,
SJG ,Sapphire,1881,101626478,"106,867,303","5,240,825",,,,,,,
Ozzy Main ,Sapphire,1490,209715147,#N/A,#N/A,,,,,,,
Jaex II ,Sapphire,1547,30674193,#N/A,#N/A,,,,,,,
iic3 ,Opal,1150,11011555,"13,309,180","2,297,625",,,,,,,
Dainz Again,Opal,1284,13952042,#N/A,#N/A,,,,,,,
C0TT0N  ,Opal,1853,137634310,#N/A,#N/A,,,,,,,
Jimmayjohns,Opal,1613,46322699,#N/A,#N/A,,,a,,,,
Saint Thomas,Opal,2175,295284233,#N/A,#N/A,,,,,,,
Shin Nibbler,Opal,1936,99947902,#N/A,#N/A,,,,,,,
Fatafeat ,Opal,1918,130703182,#N/A,#N/A,,,,,,,
CommandMando,Opal,1768,59663434,#N/A,#N/A,,,,,,,
Shot 877 ,Opal,1610,21156355,#N/A,#N/A,,,,,,,
Miles of Cox,Opal,1789,67805838,#N/A,#N/A,,,,,,,
zotte glenn,Opal,1507,54002010,#N/A,#N/A,,,,,,,
Th0tbreaker,Opal,1961,103417980,#N/A,#N/A,,,,,,,
Sir Rebral P,Opal,1935,131784304,#N/A,#N/A,,,,,,,
Jammin Ram,Opal,1611,52832106,#N/A,#N/A,,,,,,,
McDongloads,Opal,2062,232474789,#N/A,#N/A,,,,,,,